Year,Gender,# Students Enrolled in STEM Programs,Percent of Total Enrolled in STEM Programs,# Students Enrolled in Health Prof Programs,Percent of Total Enrolled in Health Prof Programs,# Students Enrolled in All Other Programs,Percent of Total Enrolled in All Other Programs,# Students Total
2000,M,3392,31,458,4,7132,65,10982
2000,W,1557,10,2076,13,11952,77,15585
2001,M,3600,31,401,3,7547,65,11548
2001,W,1757,11,1910,12,12274,77,15941
2002,M,3848,31,369,3,8067,66,12284
2002,W,1765,11,1792,11,13209,79,16766
2003,M,3743,30,374,3,8186,67,12303
2003,W,1686,10,1797,10,14185,80,17668
2004,M,3566,30,1798,3,8104,67,12016
2004,W,1854,10,1799,10,14207,80,17855
2005,M,4189,32,1800,3,8627,65,13181
2005,W,2122,11,1801,10,14914,79,18995
2006,M,4017,29,1802,3,9258,68,13704
2006,W,2082,10,1803,11,15764,79,19954
2007,M,4002,26,1804,3,11042,71,15471
2007,W,2035,9,1805,10,18069,81,22398
2008,M,4096,24,1806,3,12383,73,16981
2008,W,2053,8,1807,11,20140,81,24992
2009,M,4372,24,1808,3,13558,73,18516
2009,W,2113,7,1809,11,22982,81,28350
2010,M,4248,22,1810,4,14248,74,19256
2010,W,2207,7,1811,13,24211,80,30260
2011,M,4255,21,1812,4,14976,75,19970
2011,W,2193,7,1813,12,26286,81,32402
2012,M,4452,22,1814,3,15435,75,20553
2012,W,2246,7,1815,9,28511,84,33901
2013,M,4325,21,1816,4,15265,75,20442
2013,W,2165,6,1817,13,27866,81,34348
2014,M,4264,21,1818,4,15513,75,20644
2014,W,2223,6,1819,13,28353,81,35017
2015,M,4265,21,1820,5,15238,74,20462
2015,W,2300,7,1821,14,27184,80,34186
