year,gender,degree,stemh_enrollment,stemh_percent,stem_enrollment,stem_percent,hpp_enrollment,hpp_percent,other_enrollment,other_percent,total_students
2000,ALL,Bachelor,32752,20.5,,,,,127263,,160015
2000,M,Bachelor,,,16113,23,638,1,53480,76,70231
2000,F,Bachelor,,,10942,12,5059,6,73783,82,89784
2001,ALL,Bachelor,33632,20.6,,,,,129906,,163538
2001,M,Bachelor,,,16642,23,648,1,54337,76,71627
2001,F,Bachelor,,,11194,12,5148,6,75569,82,91911
2002,ALL,Bachelor,34310,20.2,,,,,135702,,170012
2002,M,Bachelor,,,16973,23,607,1,56997,76,74577
2002,F,Bachelor,,,11456,12,5274,6,78705,82,95435
2003,ALL,Bachelor,34472,20.1,,,,,136710,,171182
2003,M,Bachelor,,,16977,23,639,1,57263,76,74879
2003,F,Bachelor,,,11194,12,5661,6,79447,82,96302
2004,ALL,Bachelor,37470,21,,,,,141168,,178638
2004,M,Bachelor,,,18258,23,783,1,59678,76,78719
2004,F,Bachelor,,,12140,12,6289,6,81490,82,99919
2005,ALL,Bachelor,38236,20.7,,,,,146524,,184760
2005,M,Bachelor,,,18089,22,1019,1,62475,77,81583
2005,F,Bachelor,,,12345,12,6783,7,84049,81,103177
2006,ALL,Bachelor,39574,20.8,,,,,150509,,190083
2006,M,Bachelor,,,18470,22,1064,1,64395,77,83929
2006,F,Bachelor,,,12659,12,7381,7,86114,81,106154
2007,ALL,Bachelor,42598,21.5,,,,,155104,,197702
2007,M,Bachelor,,,19380,22,1274,1,67268,77,87922
2007,F,Bachelor,,,13485,12,8459,8,87836,80,109780
2008,ALL,Bachelor,44910,21.9,,,,,159935,,204845
2008,M,Bachelor,,,20400,22,1308,1,69776,76,91484
2008,F,Bachelor,,,14318,13,8884,8,90159,80,113361
2009,ALL,Bachelor,47702,22.2,,,,,167063,,214765
2009,M,Bachelor,,,21531,22,1438,2,72766,76,95735
2009,F,Bachelor,,,15075,13,9619,8,94169,79,118863
2010,ALL,Bachelor,52296,23.5,,,,,169821,,222117
2010,M,Bachelor,,,23381,23,1999,2,74244,75,99624
2010,F,Bachelor,,,15995,13,10893,9,95431,78,122319
2011,ALL,Bachelor,55476,24.1,,,,,174485,,229961
2011,M,Bachelor,,,24956,24,2247,2,75804,74,103007
2011,F,Bachelor,,,16806,13,11438,9,98545,78,126789
2012,ALL,Bachelor,56130,23.8,,,,,179312,,235442
2012,M,Bachelor,,,26836,25,1897,2,76705,73,105438
2012,F,Bachelor,,,18131,14,9245,7,102515,79,129891
2013,ALL,Bachelor,62620,26.2,,,,,176400,,239020
2013,M,Bachelor,,,28173,26,2440,2,76260,71,106873
2013,F,Bachelor,,,18976,14,12999,10,100046,76,132021
2014,ALL,Bachelor,65752,27.2,,,,,176193,,241945
2014,M,Bachelor,,,29608,27,2624,2,75847,70,108079
2014,F,Bachelor,,,19674,15,13824,10,100277,75,133775
2015,ALL,Bachelor,68342,28,,,,,175991,,244333
2015,M,Bachelor,,,30974,28,2600,2,75944,69,109518
2015,F,Bachelor,,,20720,15,14027,10,99963,74,134710
2000,ALL,Doctor,2464,34,,,,,4782,,7246
2000,M,Doctor,,,1650,42,75,2,2229,56,3954
2000,F,Doctor,,,545,17,194,6,2553,78,3292
2001,ALL,Doctor,2774,35.8,,,,,4979,,7753
2001,M,Doctor,,,1758,42,102,2,2352,56,4212
2001,F,Doctor,,,614,17,300,8,2627,74,3541
2002,ALL,Doctor,3045,36.5,,,,,5292,,8337
2002,M,Doctor,,,1856,41,127,3,2516,56,4499
2002,F,Doctor,,,676,18,386,10,2776,72,3838
2003,ALL,Doctor,3683,39.9,,,,,5550,,9233
2003,M,Doctor,,,2109,42,205,4,2661,53,4975
2003,F,Doctor,,,788,19,581,14,2889,68,4258
2004,ALL,Doctor,4635,48,,,,,5017,,9652
2004,M,Doctor,,,2686,52,182,4,2311,45,5179
2004,F,Doctor,,,1187,27,580,13,2706,60,4473
2005,ALL,Doctor,5057,48,,,,,5483,,10540
2005,M,Doctor,,,2870,52,198,4,2485,45,5553
2005,F,Doctor,,,1322,27,667,13,2998,60,4987
2006,ALL,Doctor,5482,49,,,,,5704,,11186
2006,M,Doctor,,,2994,52,259,4,2548,44,5801
2006,F,Doctor,,,1432,27,797,15,3156,59,5385
2007,ALL,Doctor,5820,48.5,,,,,6192,,12012
2007,M,Doctor,,,3134,51,288,5,2732,44,6154
2007,F,Doctor,,,1498,26,900,15,3460,59,5858
2008,ALL,Doctor,5924,47.5,,,,,6547,,12471
2008,M,Doctor,,,3174,50,281,4,2854,45,6309
2008,F,Doctor,,,1564,25,905,15,3693,60,6162
2009,ALL,Doctor,6111,46.4,,,,,7063,,13174
2009,M,Doctor,,,3200,49,286,4,3102,47,6588
2009,F,Doctor,,,1653,25,959,15,3958,60,6570
2010,ALL,Doctor,6565,47.8,,,,,7170,,13735
2010,M,Doctor,,,3389,49,377,5,3184,46,6950
2010,F,Doctor,,,1672,25,1124,17,3981,59,6777
2011,ALL,Doctor,6681,46.9,,,,,7579,,14260
2011,M,Doctor,,,3456,48,374,5,3354,47,7184
2011,F,Doctor,,,1644,23,1202,17,4218,60,7064
2012,ALL,Doctor,6714,46.6,,,,,7682,,14396
2012,M,Doctor,,,3506,48,375,5,3418,47,7299
2012,F,Doctor,,,1646,23,1185,17,4258,60,7089
2013,ALL,Doctor,6885,42.9,,,,,9165,,16050
2013,M,Doctor,,,3541,45,415,5,3934,50,7890
2013,F,Doctor,,,1672,21,1253,15,5221,64,8146
2014,ALL,Doctor,7154,44.3,,,,,9011,,16165
2014,M,Doctor,,,3525,45,522,7,3866,49,7913
2014,F,Doctor,,,1677,20,1428,17,5139,62,8244
2015,ALL,Doctor,7230,45.7,,,,,8601,,15831
2015,M,Doctor,,,3543,46,519,7,3679,48,7741
2015,F,Doctor,,,1716,21,1451,18,4920,61,8087
2000,ALL,Master,7483,28.2,,,,,19084,,26567
2000,M,Master,,,3392,31,458,4,7132,65,10982
2000,F,Master,,,1557,10,2076,13,11952,77,15585
2001,ALL,Master,7668,27.9,,,,,19821,,27489
2001,M,Master,,,3600,31,401,3,7547,65,11548
2001,F,Master,,,1757,11,1910,12,12274,77,15941
2002,ALL,Master,7774,26.8,,,,,21277,,29051
2002,M,Master,,,3848,31,369,3,8067,66,12284
2002,F,Master,,,1765,11,1792,11,13209,79,16766
2003,ALL,Master,7600,25.4,,,,,22371,,29971
2003,M,Master,,,3743,30,374,3,8186,67,12303
2003,F,Master,,,1686,10,1797,10,14185,80,17668
2004,ALL,Master,7560,25.3,,,,,22311,,29871
2004,M,Master,,,3566,30,1798,3,8104,67,12016
2004,F,Master,,,1854,10,1799,10,14207,80,17855
2005,ALL,Master,8635,26.8,,,,,23541,,32176
2005,M,Master,,,4189,32,1800,3,8627,65,13181
2005,F,Master,,,2122,11,1801,10,14914,79,18995
2006,ALL,Master,8636,25.7,,,,,25022,,33658
2006,M,Master,,,4017,29,1802,3,9258,68,13704
2006,F,Master,,,2082,10,1803,11,15764,79,19954
2007,ALL,Master,8758,23.1,,,,,37869,,37869
2007,M,Master,,,4002,26,1804,3,11042,71,15471
2007,F,Master,,,2035,9,1805,10,18069,81,22398
2008,ALL,Master,9450,22.5,,,,,41973,,41973
2008,M,Master,,,4096,24,1806,3,12383,73,16981
2008,F,Master,,,2053,8,1807,11,20140,81,24992
2009,ALL,Master,10343,22,,,,,46946,,46946
2009,M,Master,,,4372,24,1808,3,13558,73,18516
2009,F,Master,,,2113,7,1809,11,22982,81,28350
2010,ALL,Master,11061,22.3,,,,,49593,,49593
2010,M,Master,,,4248,22,1810,4,14248,74,19256
2010,F,Master,,,2207,7,1811,13,24211,80,30260
2011,ALL,Master,11118,21.2,,,,,52451,,52451
2011,M,Master,,,4255,21,1812,4,14976,75,19970
2011,F,Master,,,2193,7,1813,12,26286,81,32402
2012,ALL,Master,10517,19.3,,,,,54514,,54514
2012,M,Master,,,4452,22,1814,3,15435,75,20553
2012,F,Master,,,2246,7,1815,9,28511,84,33901
2013,ALL,Master,11678,21.3,,,,,54859,,54859
2013,M,Master,,,4325,21,1816,4,15265,75,20442
2013,F,Master,,,2165,6,1817,13,27866,81,34348
2014,ALL,Master,11805,21.2,,,,,55720,,55720
2014,M,Master,,,4264,21,1818,4,15513,75,20644
2014,F,Master,,,2223,6,1819,13,28353,81,35017
2015,ALL,Master,12237,22.4,,,,,54707,,54707
2015,M,Master,,,4265,21,1820,5,15238,74,20462
2015,F,Master,,,2300,7,1821,14,27184,80,34186
